Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R4,0.463804,0.3053767,1.23547,0.0068982,1.89E-02,69.99509346,2
R4,0.4672734,0.3041134,1.235752,0.0034694,-0.0012633,339.9921014,8
R5,0.03702119,0.3271595,1.177753,-0.43025221,2.30E-02,176.9339295,4
R5,0.05112841,0.3250065,1.175858,0.01410722,-0.002153,351.3226537,8
R5,0.05851626,0.3234223,1.174694,0.00738785,-1.58E-03,347.8971662,8
R5,0.06482389,0.3208968,1.175328,0.00630763,-0.0025255,338.1794236,8
R5,0.0725961,0.3209009,1.17392,0.00777221,4.10E-06,0.030224695,1
R5,0.08078109,0.3196613,1.172585,0.00818499,-0.0012396,351.3881155,8
R5,0.08805343,0.3192123,1.173169,0.00727234,-4.49E-04,356.4669981,8
R5,0.09623051,0.3191451,1.173092,0.00817708,-6.72E-05,359.5291486,8
R5,0.101937,0.3188564,1.174833,0.00570649,-2.89E-04,357.1037887,8
R5,0.1102439,0.319294,1.175749,0.0083069,0.0004376,3.015502623,1
R5,0.119775,0.3186676,1.175315,0.0095311,-6.26E-04,356.2398321,8
R5,0.1294534,0.3184325,1.175472,0.0096784,-0.0002351,358.6084901,8
R5,0.138442,0.3194115,1.177084,0.0089886,9.79E-04,6.215910335,1
R5,0.1495578,0.3194355,1.175891,0.0111158,2.4E-05,0.123706487,1
R5,0.2043501,0.3152717,1.173101,0.0547923,-4.16E-03,355.6543069,8
R5,0.211342,0.317033,1.172545,0.0069919,0.0017613,14.13896714,1
R5,0.2167886,0.317156,1.17338,0.0054466,1.23E-04,1.293684725,1
R5,0.3323031,0.3217424,1.165461,0.1155145,0.0045864,2.273683471,1
R5,0.3362041,0.3235367,1.16415,0.003901,1.79E-03,24.70049062,1
R5,0.3401231,0.3243653,1.163548,0.003919,0.0008286,11.93831043,1
R5,0.3465543,0.3250732,1.164091,0.0064312,7.08E-04,6.281418038,1
R5,0.3550722,0.3246037,1.165651,0.0085179,-0.0004695,356.8450938,8
R5,0.3611967,0.3236667,1.166149,0.0061245,-9.37E-04,351.3016472,8
R5,0.3676239,0.3231612,1.167531,0.0064272,-0.0005055,355.502938,8
R5,0.3769271,0.3243747,1.168727,0.0093032,1.21E-03,7.431644933,1
R5,0.3826872,0.3246942,1.16975,0.0057601,0.0003195,3.174816802,1
R5,0.389536,0.3262182,1.170981,0.0068488,1.52E-03,12.54510525,1
R5,0.396121,0.3279026,1.171499,0.006585,0.0016844,14.34823051,1
R5,0.3987675,0.329038,1.17308,0.0026465,1.14E-03,23.22027396,1
R5,0.4069843,0.3315367,1.173785,0.0082168,0.0024987,16.9143322,1
R5,0.4136293,0.3324687,1.173933,0.006645,9.32E-04,7.983986176,1
R5,0.4196314,0.3329387,1.175386,0.0060021,0.00047,4.47746234,1
R5,0.4272497,0.3333609,1.176941,0.0076183,4.22E-04,3.172040817,1
R5,0.4357164,0.3334802,1.175357,0.0084667,0.0001193,0.807272512,1
R5,0.4391909,0.3336214,1.17711,0.0034745,1.41E-04,2.327159239,1
R5,0.4619366,0.3311334,1.178081,0.0227457,-0.002488,353.757615,8
R5,0.4765263,0.2856792,1.182501,0.0145897,-4.55E-02,287.7953752,7
R5,0.4791675,0.2846174,1.181618,0.0026412,-0.0010618,338.0991707,8
R5,0.4827484,0.2831835,1.180431,0.0035809,-1.43E-03,338.1773518,8
R5,0.4858655,0.2811741,1.180786,0.0031171,-0.0020094,327.1926481,8
R6,0.1803097,0.3107814,1.165959,-0.3055558,2.96E-02,174.465515,4
