Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R5,0.474743,0.1683833,1.457929,-0.0069304,0.0045947,146.4565132,4
R5,0.4629826,0.1722717,1.456053,-0.0117604,0.0038884,161.7043058,4
R5,0.4538164,0.1769639,1.456522,-0.0091662,0.0046922,152.8919833,4
R5,0.4521188,0.1851497,1.456843,-0.0016976,0.0081858,101.7161224,3
R5,0.369938,0.2071339,1.453293,-0.0821808,0.0219842,165.0234716,4
R5,0.3612865,0.2098752,1.452837,-0.0086515,0.0027413,162.4187602,4
R5,0.3467449,0.2133855,1.450797,-0.0145416,0.0035103,166.4286027,4
R5,0.2640967,0.2282793,1.451529,-0.0826482,0.0148938,169.7845281,4
R5,0.2552921,0.229356,1.450656,-0.0088046,0.0010767,173.0280103,4
R5,0.2437428,0.2293173,1.449365,-0.0115493,-3.87E-05,180.191989,5
R5,0.2294343,0.2319743,1.448792,-0.0143085,0.002657,169.4803493,4
R5,0.2190664,0.2360441,1.448852,-0.0103679,0.0040698,158.5680809,4
R5,0.2081954,0.2394345,1.446921,-0.010871,0.0033904,162.6785721,4
R5,0.1981799,0.2435386,1.445973,-0.0100155,0.0041041,157.7174155,4
R5,0.1877226,0.2461428,1.445446,-0.0104573,0.0026042,166.0159803,4
R5,0.1765991,0.2505202,1.444124,-0.0111235,0.0043774,158.519012,4
R6,0.2055132,0.2170314,1.570868,0.0289141,-0.0334888,310.8071987,7
R6,0.2914235,0.2079259,1.560697,0.0859103,-0.0091055,353.9498961,8
R6,0.3177401,0.201408,1.560931,0.0263166,-0.0065179,346.0893327,8
R6,0.3228384,0.2003435,1.562005,0.0050983,-0.0010645,348.2063573,8
R6,0.3299837,0.1994269,1.5635,0.0071453,-0.0009166,352.6900128,8
R6,0.3352985,0.1985364,1.564115,0.0053148,-0.0008905,350.4883863,8
R6,0.3403995,0.1982148,1.564288,0.005101,-0.0003216,356.3924786,8
R6,0.3469607,0.1980058,1.565001,0.0065612,-0.000209,358.1755212,8
R6,0.3517514,0.1974588,1.565365,0.0047907,-0.000547,353.4862023,8
R6,0.3574226,0.1966589,1.566021,0.0056712,-0.0007999,351.9716195,8
R6,0.361421,0.1957542,1.570465,0.0039984,-0.0009047,347.2506209,8
R6,0.3602443,0.1940939,1.570963,-0.0011767,-0.0016603,234.6737569,6
R6,0.3594386,0.1974386,1.570796,-0.0008057,0.0033447,103.5438621,3
R6,0.3540764,0.1963267,1.571328,-0.0053622,-0.0011119,191.7147711,5
R6,0.3459404,0.1940822,1.573307,-0.008136,-0.0022445,195.4227255,5
R6,0.3394706,0.1936394,1.573643,-0.0064698,-0.0004428,183.9152785,5
R6,0.3355232,0.1924753,1.577229,-0.0039474,-0.0011641,196.430945,5
R6,0.3259003,0.1920942,1.577036,-0.0096229,-0.0003811,182.2679251,5
R6,0.3146145,0.1920448,1.579019,-0.0112858,-4.94E-05,180.2507924,5
R6,0.3081268,0.1925534,1.580796,-0.0064877,0.0005086,175.5174937,4
R6,0.2969634,0.192871,1.582349,-0.0111634,0.0003176,178.3703681,4
R6,0.2870754,0.192938,1.58257,-0.009888,6.7E-05,179.611776,5
R6,0.2746001,0.1941528,1.582631,-0.0124753,0.0012148,174.4382772,4
R6,0.2624874,0.1964368,1.583254,-0.0121127,0.002284,169.3215513,4
R6,0.2514585,0.1972782,1.584547,-0.0110289,0.0008414,175.6373287,4
R6,0.2414353,0.1995756,1.584679,-0.0100232,0.0022974,167.0903284,4
R6,0.1792806,0.2208639,1.59748,-0.0621547,0.0212883,161.0934079,4
R6,0.1744366,0.2203113,1.599743,-0.004844,-0.0005526,186.5081258,5
R6,0.1617879,0.2209849,1.601684,-0.0126487,0.0006736,176.9516224,4
R6,0.1508077,0.2228654,1.604386,-0.0109802,0.0018805,170.2816475,4
R6,0.1390311,0.2267371,1.606901,-0.0117766,0.0038717,161.8010936,4
R6,0.1275897,0.2295137,1.609909,-0.0114414,0.0027766,166.3591606,4
R6,0.1194566,0.2305457,1.611609,-0.0081331,0.001032,172.7684483,4
R6,0.1098442,0.2311849,1.613846,-0.0096124,0.0006392,176.1955783,4
R6,0.09817748,0.2302906,1.616037,-0.01166672,-0.0008943,184.3833751,5
R6,0.08788791,0.2291798,1.617116,-0.01028957,-0.0011108,186.1614459,5
R6,0.07654893,0.2303031,1.617628,-0.01133898,0.0011233,174.3424332,4
R6,0.03358965,0.2501669,1.620396,-0.04295928,0.0198638,155.1848063,4
R6,0.02444551,0.2451382,1.618941,-0.00914414,-0.0050287,208.8080179,5
R6,0.01505293,0.246498,1.61827,-0.00939258,0.0013598,171.7623036,4
